0,[[ 0.47603565  0.52396435]],[[ 0.48954335  0.51045668]],[[ 0.4730601   0.52693987]],
1,[[ 0.48847806  0.51152194]],[[ 0.48243102  0.51756901]],[[ 0.46393311  0.53606695]],
2,[[ 0.47246763  0.52753234]],[[ 0.49174806  0.50825191]],[[ 0.49438167  0.50561833]],
3,[[ 0.49554914  0.50445086]],[[ 0.45222619  0.54777378]],[[ 0.50133884  0.49866119]],
4,[[ 0.47738832  0.52261168]],[[ 0.48410869  0.51589137]],[[ 0.49224389  0.50775617]],
5,[[ 0.48280197  0.51719803]],[[ 0.45433328  0.54566675]],[[ 0.4662402   0.53375977]],
6,[[ 0.46561345  0.53438658]],[[ 0.48614258  0.51385742]],[[ 0.49817899  0.50182098]],
7,[[ 0.46410885  0.53589118]],[[ 0.50406885  0.49593115]],[[ 0.4691036   0.53089643]],
8,[[ 0.47412515  0.52587485]],[[ 0.46982771  0.53017229]],[[ 0.50029498  0.49970502]],
0,[[ 0.53311896  0.46688098]],[[ 0.5130204  0.4869796]],[[ 0.53218168  0.46781832]],
1,[[ 0.49394366  0.50605631]],[[ 0.51536  0.48464]],[[ 0.49707329  0.50292671]],
2,[[ 0.50539905  0.49460101]],[[ 0.50235945  0.49764052]],[[ 0.49017897  0.509821  ]],
3,[[ 0.52038604  0.47961396]],[[ 0.52061802  0.47938201]],[[ 0.5060491   0.49395087]],
4,[[ 0.53127438  0.46872559]],[[ 0.50969076  0.49030921]],[[ 0.53435701  0.46564302]],
5,[[ 0.52200097  0.47799897]],[[ 0.51513582  0.48486421]],[[ 0.4893001   0.51069993]],
6,[[ 0.50726527  0.4927347 ]],[[ 0.52945894  0.47054103]],[[ 0.49388885  0.50611115]],
7,[[ 0.51869988  0.48130012]],[[ 0.51961893  0.48038107]],[[ 0.50451267  0.4954873 ]],
8,[[ 0.51793087  0.48206913]],[[ 0.50651073  0.49348924]],[[ 0.51060736  0.48939261]],
0,[[ 0.6871773  0.3128227]],[[ 0.68091631  0.31908366]],[[ 0.69260663  0.30739337]],
1,[[ 0.69555986  0.30444014]],[[ 0.66660941  0.33339059]],[[ 0.70258272  0.29741728]],
2,[[ 0.70807695  0.29192305]],[[ 0.69296485  0.30703512]],[[ 0.72270995  0.27729002]],
3,[[ 0.68972099  0.31027898]],[[ 0.68956512  0.31043485]],[[ 0.67460704  0.32539302]],
4,[[ 0.7146821  0.2853179]],[[ 0.6664021   0.33359796]],[[ 0.69695777  0.30304223]],
5,[[ 0.64803129  0.35196868]],[[ 0.67124641  0.32875356]],[[ 0.654598    0.34540194]],
6,[[ 0.70183021  0.29816976]],[[ 0.70125341  0.29874656]],[[ 0.66596138  0.33403867]],
7,[[ 0.69313186  0.30686817]],[[ 0.71886021  0.28113976]],[[ 0.68680382  0.31319621]],
8,[[ 0.66044289  0.33955711]],[[ 0.67939115  0.32060891]],[[ 0.64749229  0.35250768]],
9,[[ 0.69620973  0.30379024]],[[ 0.69451237  0.30548763]],[[ 0.66141737  0.33858266]],
10,[[ 0.67776585  0.32223415]],[[ 0.68146586  0.31853414]],[[ 0.67171758  0.32828245]],
11,[[ 0.66187119  0.33812881]],[[ 0.69405425  0.30594578]],[[ 0.68313819  0.31686184]],
0,[[ 0.6328572   0.36714286]],[[ 0.59933752  0.40066251]],[[ 0.59188992  0.40811014]],
1,[[ 0.60941833  0.39058164]],[[ 0.54934341  0.45065662]],[[ 0.58720815  0.41279188]],
2,[[ 0.61380863  0.38619134]],[[ 0.58426452  0.41573554]],[[ 0.6074394  0.3925606]],
3,[[ 0.582187    0.41781294]],[[ 0.55241251  0.44758752]],[[ 0.59601176  0.40398824]],
4,[[ 0.60417175  0.39582822]],[[ 0.5438416   0.45615834]],[[ 0.63594705  0.36405292]],
5,[[ 0.55452627  0.44547373]],[[ 0.55764097  0.44235903]],[[ 0.53128034  0.46871969]],
6,[[ 0.59061027  0.40938973]],[[ 0.59167916  0.4083209 ]],[[ 0.56876093  0.43123904]],
7,[[ 0.61188161  0.38811836]],[[ 0.60720813  0.39279193]],[[ 0.62013239  0.37986755]],
8,[[ 0.55757821  0.44242182]],[[ 0.57089561  0.42910442]],[[ 0.52548367  0.4745163 ]],
9,[[ 0.57867479  0.42132521]],[[ 0.58613241  0.41386759]],[[ 0.58173311  0.41826686]],
10,[[ 0.5638603   0.43613967]],[[ 0.57440847  0.42559153]],[[ 0.5787006   0.42129943]],
11,[[ 0.60205203  0.39794794]],[[ 0.58557576  0.4144243 ]],[[ 0.60695422  0.39304578]],
Image0,[[ 0.24952114  0.75047886]],[[ 0.23497906  0.76502097]],[[ 0.24490419  0.75509578]],
Image1,[[ 0.25021347  0.74978656]],[[ 0.26333988  0.73666012]],[[ 0.23556037  0.76443964]],
Image2,[[ 0.27412644  0.72587359]],[[ 0.26902264  0.73097736]],[[ 0.24695437  0.75304562]],
Image3,[[ 0.24056421  0.75943583]],[[ 0.23694311  0.76305687]],[[ 0.232154    0.76784593]],
Image4,[[ 0.24664287  0.75335711]],[[ 0.22902904  0.77097094]],[[ 0.2367872  0.7632128]],
Image5,[[ 0.23892242  0.76107758]],[[ 0.24447833  0.75552171]],[[ 0.23224522  0.76775473]],
Image6,[[ 0.23151942  0.7684806 ]],[[ 0.23522271  0.7647773 ]],[[ 0.23104168  0.76895833]],
Image7,[[ 0.25016299  0.74983698]],[[ 0.23769405  0.76230592]],[[ 0.24010397  0.75989604]],
Image8,[[ 0.22717983  0.77282023]],[[ 0.24528709  0.75471288]],[[ 0.24154375  0.75845623]],
Image9,[[ 0.26956081  0.73043925]],[[ 0.24622221  0.75377774]],[[ 0.25728661  0.74271333]],
Image10,[[ 0.26616311  0.73383695]],[[ 0.23670506  0.76329494]],[[ 0.26282987  0.73717016]],
Image11,[[ 0.23514767  0.76485229]],[[ 0.23608504  0.76391494]],[[ 0.26421854  0.73578149]],
Image12,[[ 0.24955881  0.75044119]],[[ 0.23976651  0.76023352]],[[ 0.24512127  0.75487876]],
Image13,[[ 0.24877355  0.75122648]],[[ 0.25393248  0.74606752]],[[ 0.25033349  0.74966651]],
Image14,[[ 0.26701757  0.73298246]],[[ 0.25491169  0.74508828]],[[ 0.25314471  0.74685526]],
Image15,[[ 0.27849257  0.72150743]],[[ 0.24443081  0.75556922]],[[ 0.26628783  0.7337122 ]],
Image16,[[ 0.23515406  0.76484597]],[[ 0.23632781  0.76367223]],[[ 0.22919576  0.77080429]],
Image17,[[ 0.24323335  0.75676662]],[[ 0.23583783  0.76416218]],[[ 0.24074185  0.75925821]],
Image0,[[ 0.21678908  0.78321093]],[[ 0.20769928  0.7923007 ]],[[ 0.21265359  0.78734648]],
Image1,[[ 0.21964146  0.78035855]],[[ 0.22418928  0.77581072]],[[ 0.22487809  0.77512193]],
Image2,[[ 0.24586765  0.75413239]],[[ 0.21705469  0.78294533]],[[ 0.23203628  0.76796371]],
Image3,[[ 0.24156743  0.75843251]],[[ 0.24543351  0.75456649]],[[ 0.24386209  0.75613791]],
Image4,[[ 0.22976503  0.77023494]],[[ 0.23566808  0.76433194]],[[ 0.23295355  0.76704645]],
Image5,[[ 0.2323496   0.76765043]],[[ 0.23578677  0.7642132 ]],[[ 0.24259309  0.75740689]],
Image6,[[ 0.2361979   0.76380211]],[[ 0.24004842  0.75995159]],[[ 0.24169415  0.75830585]],
Image7,[[ 0.24460712  0.75539291]],[[ 0.23451288  0.76548719]],[[ 0.23919445  0.76080549]],
Image8,[[ 0.22813864  0.77186137]],[[ 0.2343192   0.76568079]],[[ 0.23753645  0.76246357]],
Image9,[[ 0.24896564  0.75103438]],[[ 0.23594289  0.76405716]],[[ 0.26031226  0.73968774]],
Image10,[[ 0.23659824  0.76340175]],[[ 0.24623492  0.75376511]],[[ 0.21482916  0.78517079]],
Image11,[[ 0.23521295  0.76478702]],[[ 0.21798491  0.78201509]],[[ 0.21319498  0.78680497]],
Image12,[[ 0.22185904  0.77814096]],[[ 0.23725428  0.76274574]],[[ 0.21350619  0.78649384]],
Image13,[[ 0.21932247  0.78067756]],[[ 0.21205278  0.78794718]],[[ 0.22424489  0.77575511]],
Image14,[[ 0.2416198   0.75838017]],[[ 0.21964809  0.78035188]],[[ 0.22048976  0.77951032]],
Image15,[[ 0.20833941  0.79166055]],[[ 0.24339627  0.75660378]],[[ 0.20016931  0.79983068]],
Image16,[[ 0.23946397  0.76053602]],[[ 0.24020819  0.75979185]],[[ 0.24098413  0.75901592]],
Image17,[[ 0.21890733  0.78109264]],[[ 0.25071889  0.74928111]],[[ 0.22546475  0.77453524]],
